Raw data S9A;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
ALIX ;;;;;;;;;;;;CYLD;;;;;;;;;;
;;Exp1;Exp2;Exp 3;Exp 4;;WT;KO;;;;;;Exp1;Exp2;Exp 3;Exp 4;;WT;KO;;
WT;None;18195;32730;15713;14993;;3.572190162;0.903890053;;;;WT;None;34426;10363;2074;2842;;1.82882124;0.90987766;;
;Lys Inh;64996;44391;26119;33468;;1.356278643;0.825238045;;;;;Lys Inh;62959;22880;5319;12222;;2.207854868;1.206070534;;
L2AKO;None;63958;47785;48749;37095;;1.662254184;0.725758477;;;;L2AKO;None;50842;32353;13493;39193;;2.56460945;2.41162084;;
;Lys Inh;57811;39434;35380;20058;;2.232241713;0.540719774;;;;;Lys Inh;46260;39020;32540;30250;;4.300492611;0.771821499;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;mean;2.205741176;0.748901587;0.010075246;P;;;;;;;;mean;2.725444542;1.324847633;0.039295573;P
;;;;;;s.e.m.;0.424621141;0.067880387;;;;;;;;;;s.e.m.;0.472921555;0.323382705;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
ACACA;;;;;;;;;;;;GAPDH;;;;;;;;;;
;;Exp1;Exp2;Exp 3;Exp 4;;WT;KO;;;;;;Exp1;Exp2;Exp 3;Exp 4;Exp 5;WT;KO;;
WT;None;41211;15385;23242;8666;;1.138603771;0.789811857;;;;WT;None;38763;6941;6889;32156;4109;1.886283311;0.80368304;;
;Lys Inh;46923;12792;32485;15842;;0.831459214;1.267641874;;;;;Lys Inh;73118;13268;7388;41856;7198;1.911540124;0.870666594;;
L2AKO;None;54161;20987;45845;11115;;1.397685225;0.807787109;;;;L2AKO;None;71517;36634;38740;75220;24074;1.072434316;0.884847703;;
;Lys Inh;42777;26604;37033;16006;;1.828063697;1.440035987;;;;;Lys Inh;57477;31896;34279;59136;15466;1.301654435;0.78617389;;
;;;;;;;;;;;;;;;;;;;1.75176442;0.642435823;;
;;;;;;mean;1.298952977;1.076319207;0.218354636;P;;;;;;;;mean;1.584735321;0.79756141;0.000969327;P
;;;;;;s.e.m.;0.18268287;0.142102562;;;;;;;;;;s.e.m.;0.137624901;0.035210965;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
ATGL;;;;;;;;;;;;CDKN2A;;;;;;;;;;
;;Exp1;Exp2;Exp 3;;;WT;KO;;;;;;Exp1;Exp2;Exp 3;;;WT;KO;;
WT;None;39946;50360;12579;;;1.196340059;1.31200947;;;;WT;None;18633;20507;2403;;;1.439703751;1.272235524;;
;Lys Inh;47789;44314;13494;;;0.8799444;0.892539885;;;;;Lys Inh;26826;23486;4356;;;1.14526747;1.130141638;;
L2AKO;None;38861;67318;12529;;;1.072740281;0.961688882;;;;L2AKO;None;22554;20616;10456;;;1.812734082;1.786916603;;
;Lys Inh;50986;60084;12049;;;;;;;;;Lys Inh;28694;23299;18684;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;mean;1.049674914;1.055412746;0.486485232;P;;;;;;;;mean;1.465901768;1.396431255;0.407381658;P
;;;;;;s.e.m.;0.065096802;0.091812132;;;;;;;;;;s.e.m.;0.136560531;0.141071361;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
H2A.X;;;;;;;;;;;;BCL2;;;;;;;;;;
;;Exp1;Exp2;Exp 3;Exp 4;;WT;KO;;;;;;Exp1;Exp2;Exp 3;Exp 4;Exp 5;WT;KO;;
WT;None;59645;36959;27059;36508;;1.039433314;1.036655649;;;;WT;None;26795;26854;16125;13948;27074;1.009927225;0.826489582;;
;Lys Inh;61997;36166;28663;40260;;0.978543792;1.226410051;;;;;Lys Inh;27061;30276;23044;13091;23532;1.127429806;0.62144518;;
L2AKO;None;60209;22446;35320;47348;;1.059277874;1.083635334;;;;L2AKO;None;24621;33546;29035;30341;27861;1.429085271;0.729326675;;
;Lys Inh;62416;27528;38274;49920;;1.102771995;1.054321196;;;;;Lys Inh;20349;20847;21176;16180;21307;0.938557499;0.53327181;;
;;;;;;;;;;;;;;;;;;;0.869173377;0.764760777;;
;;;;;;mean;1.045006744;1.100255558;0.156977915;P;;;;;;;;mean;1.074834636;0.695058805;0.004619558;P
;;;;;;s.e.m.;0.022345129;0.037371531;;;;;;;;;;s.e.m.;0.080278837;0.042778771;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
PSA5;;;;;;;;;;;;;;;;;;;;;;
;;Exp1;Exp2;Exp 3;Exp 4;;WT;KO;;;;;;;;;;;;;;
WT;None;32455;11806;23273;26203;;0.948390079;0.960460582;;;;;;;;;;;;;;
;Lys Inh;30780;16786;33143;22538;;1.421819414;0.545885701;;;;;;;;;;;;;;
L2AKO;None;32828;33736;37146;27043;;1.424096593;0.86892263;;;;;;;;;;;;;;
;Lys Inh;31530;18416;32277;14520;;0.860130519;0.536922679;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;mean;1.163609151;0.728047898;0.029005798;P;;;;;;;;;;;;
;;;;;;s.e.m.;0.106642857;0.077344807;;;;;;;;;;;;;;